Date,Yield
02-01-2022,1.512
03-01-2022,1.637
04-01-2022,1.649
05-01-2022,1.7
06-01-2022,1.728
07-01-2022,1.765
09-01-2022,1.765
10-01-2022,1.755
11-01-2022,1.746
12-01-2022,1.752
13-01-2022,1.701
14-01-2022,1.793
17-01-2022,1.809
18-01-2022,1.875
19-01-2022,1.854
20-01-2022,1.811
21-01-2022,1.77
23-01-2022,1.772
24-01-2022,1.776
25-01-2022,1.776
26-01-2022,1.873
27-01-2022,1.803
28-01-2022,1.778
30-01-2022,1.791
31-01-2022,1.784
01-02-2022,1.795
02-02-2022,1.771
03-02-2022,1.836
04-02-2022,1.916
06-02-2022,1.91
07-02-2022,1.919
08-02-2022,1.965
09-02-2022,1.945
10-02-2022,2.043
11-02-2022,1.918
14-02-2022,1.986
15-02-2022,2.043
16-02-2022,2.04
17-02-2022,1.968
18-02-2022,1.927
21-02-2022,1.873
22-02-2022,1.944
23-02-2022,1.998
24-02-2022,1.97
25-02-2022,1.97
27-02-2022,1.894
28-02-2022,1.822
01-03-2022,1.716
02-03-2022,1.878
03-03-2022,1.84
04-03-2022,1.737
06-03-2022,1.683
07-03-2022,1.777
08-03-2022,1.84
09-03-2022,1.951
10-03-2022,1.993
11-03-2022,1.997
13-03-2022,2.039
14-03-2022,2.142
15-03-2022,2.149
16-03-2022,2.192
17-03-2022,2.167
18-03-2022,2.153
20-03-2022,2.153
21-03-2022,2.297
22-03-2022,2.381
23-03-2022,2.29
24-03-2022,2.37
25-03-2022,2.488
27-03-2022,2.471
28-03-2022,2.466
29-03-2022,2.398
30-03-2022,2.358
31-03-2022,2.345
01-04-2022,2.389
03-04-2022,2.401
04-04-2022,2.393
05-04-2022,2.554
06-04-2022,2.598
07-04-2022,2.665
08-04-2022,2.704
10-04-2022,2.723
11-04-2022,2.774
12-04-2022,2.727
13-04-2022,2.703
14-04-2022,2.828
17-04-2022,2.847
18-04-2022,2.857
19-04-2022,2.94
20-04-2022,2.834
21-04-2022,2.908
22-04-2022,2.905
24-04-2022,2.887
25-04-2022,2.818
26-04-2022,2.728
27-04-2022,2.826
28-04-2022,2.832
29-04-2022,2.938
01-05-2022,2.934
02-05-2022,2.977
03-05-2022,2.979
04-05-2022,2.946
05-05-2022,3.035
06-05-2022,3.142
08-05-2022,3.142
09-05-2022,3.034
10-05-2022,2.989
11-05-2022,2.925
12-05-2022,2.855
13-05-2022,2.928
15-05-2022,2.942
16-05-2022,2.886
17-05-2022,2.995
18-05-2022,2.884
19-05-2022,2.837
20-05-2022,2.788
22-05-2022,2.808
23-05-2022,2.861
24-05-2022,2.754
25-05-2022,2.751
26-05-2022,2.742
27-05-2022,2.743
30-05-2022,2.812
31-05-2022,2.849
01-06-2022,2.911
02-06-2022,2.913
03-06-2022,2.941
05-06-2022,2.937
06-06-2022,3.04
07-06-2022,2.979
08-06-2022,3.027
09-06-2022,3.046
10-06-2022,3.165
12-06-2022,3.174
13-06-2022,3.362
14-06-2022,3.479
15-06-2022,3.292
16-06-2022,3.195
17-06-2022,3.231
20-06-2022,3.277
21-06-2022,3.279
22-06-2022,3.16
23-06-2022,3.089
24-06-2022,3.138
26-06-2022,3.134
27-06-2022,3.202
28-06-2022,3.177
29-06-2022,3.087
30-06-2022,3.017
01-07-2022,2.889
04-07-2022,2.932
05-07-2022,2.818
06-07-2022,2.934
07-07-2022,3
08-07-2022,3.08
10-07-2022,3.097
11-07-2022,2.993
12-07-2022,2.971
13-07-2022,2.935
14-07-2022,2.958
15-07-2022,2.928
17-07-2022,2.928
18-07-2022,2.989
19-07-2022,3.028
20-07-2022,3.03
21-07-2022,2.882
22-07-2022,2.754
24-07-2022,2.785
25-07-2022,2.807
26-07-2022,2.803
27-07-2022,2.785
28-07-2022,2.671
29-07-2022,2.658
31-07-2022,2.67
01-08-2022,2.588
02-08-2022,2.748
03-08-2022,2.706
04-08-2022,2.694
05-08-2022,2.827
07-08-2022,2.832
08-08-2022,2.75
09-08-2022,2.779
10-08-2022,2.785
11-08-2022,2.889
12-08-2022,2.842
14-08-2022,2.842
15-08-2022,2.793
16-08-2022,2.808
17-08-2022,2.902
18-08-2022,2.886
19-08-2022,2.976
21-08-2022,2.987
22-08-2022,3.024
23-08-2022,3.057
24-08-2022,3.109
25-08-2022,3.031
26-08-2022,3.03
28-08-2022,3.071
29-08-2022,3.114
30-08-2022,3.112
31-08-2022,3.196
01-09-2022,3.259
02-09-2022,3.195
05-09-2022,3.223
06-09-2022,3.351
07-09-2022,3.267
08-09-2022,3.323
09-09-2022,3.315
11-09-2022,3.315
12-09-2022,3.358
13-09-2022,3.412
14-09-2022,3.404
15-09-2022,3.449
16-09-2022,3.455
18-09-2022,3.455
19-09-2022,3.494
20-09-2022,3.569
21-09-2022,3.534
22-09-2022,3.71
23-09-2022,3.687
25-09-2022,3.739
26-09-2022,3.928
27-09-2022,3.949
28-09-2022,3.737
29-09-2022,3.782
30-09-2022,3.829
02-10-2022,3.81
03-10-2022,3.643
04-10-2022,3.635
05-10-2022,3.755
06-10-2022,3.828
07-10-2022,3.888
10-10-2022,3.955
11-10-2022,3.945
12-10-2022,3.902
13-10-2022,3.95
14-10-2022,4.023
16-10-2022,4.002
17-10-2022,4.012
18-10-2022,4.007
19-10-2022,4.138
20-10-2022,4.233
21-10-2022,4.219
23-10-2022,4.208
24-10-2022,4.247
25-10-2022,4.1
26-10-2022,4.007
27-10-2022,3.927
28-10-2022,4.01
30-10-2022,4.018
31-10-2022,4.05
01-11-2022,4.048
02-11-2022,4.096
03-11-2022,4.149
04-11-2022,4.163
06-11-2022,4.163
07-11-2022,4.218
08-11-2022,4.128
09-11-2022,4.099
10-11-2022,3.811
13-11-2022,3.897
14-11-2022,3.863
15-11-2022,3.777
16-11-2022,3.69
17-11-2022,3.769
18-11-2022,3.829
20-11-2022,3.814
21-11-2022,3.84
22-11-2022,3.758
23-11-2022,3.689
24-11-2022,3.661
25-11-2022,3.691
27-11-2022,3.694
28-11-2022,3.679
29-11-2022,3.75
30-11-2022,3.611
01-12-2022,3.51
02-12-2022,3.492
04-12-2022,3.517
05-12-2022,3.583
06-12-2022,3.531
07-12-2022,3.421
08-12-2022,3.489
09-12-2022,3.586
11-12-2022,3.588
12-12-2022,3.617
13-12-2022,3.501
14-12-2022,3.479
15-12-2022,3.45
16-12-2022,3.488
18-12-2022,3.511
19-12-2022,3.59
20-12-2022,3.692
21-12-2022,3.673
22-12-2022,3.686
23-12-2022,3.751
26-12-2022,3.743
27-12-2022,3.849
28-12-2022,3.886
29-12-2022,3.82
30-12-2022,3.879
